time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,precipitation
2026-06-06 00:00:00,35.9,29.1,2029.0,35.5,5.5,54.0,99.0,,,,,
2026-06-06 01:00:00,31.3,26.1,1577.0,28.0,4.5,56.0,97.0,,,,,
2026-06-06 02:00:00,28.3,23.7,1192.0,21.9,3.8,58.0,94.0,,,,,
2026-06-06 03:00:00,26.1,22.0,942.0,17.7,3.4,58.0,92.0,,,,,
2026-06-06 04:00:00,24.8,20.9,758.0,14.9,3.3,58.0,90.0,,,,,
2026-06-06 05:00:00,24.3,20.1,653.0,15.2,3.6,57.0,88.0,,,,,
2026-06-06 06:00:00,24.2,19.9,678.0,16.6,4.7,69.0,87.0,,,,,
2026-06-06 07:00:00,27.7,21.7,782.0,18.2,6.1,85.0,85.0,,,,,
2026-06-06 08:00:00,34.1,22.8,820.0,18.0,7.4,104.0,85.0,,,,,
2026-06-06 09:00:00,33.2,20.5,707.0,14.0,8.3,126.0,84.0,,,,,
2026-06-06 10:00:00,26.4,15.8,527.0,8.2,9.0,150.0,84.0,,,,,
2026-06-06 11:00:00,26.0,15.0,390.0,3.9,9.2,167.0,83.0,,,,,
2026-06-06 12:00:00,25.8,14.7,344.0,2.6,8.6,174.0,81.0,,,,,
2026-06-06 13:00:00,25.7,14.5,340.0,2.9,7.5,174.0,80.0,,,,,
2026-06-06 14:00:00,25.7,14.3,346.0,3.5,6.6,172.0,90.0,,,,,
2026-06-06 15:00:00,25.5,13.9,290.0,1.8,6.0,172.0,112.0,,,,,
2026-06-06 16:00:00,25.1,13.6,242.0,0.6,5.7,169.0,130.0,,,,,
2026-06-06 17:00:00,13.1,8.2,384.0,6.7,4.9,156.0,144.0,,,,,
2026-06-06 18:00:00,13.9,8.9,909.0,20.3,5.4,131.0,150.0,,,,,
2026-06-06 19:00:00,17.3,12.9,1623.0,39.5,6.1,95.0,146.0,,,,,
2026-06-06 20:00:00,25.5,20.8,2122.0,56.2,6.6,64.0,131.0,,,,,
2026-06-06 21:00:00,29.7,24.9,2224.0,68.9,6.9,41.0,108.0,,,,,
2026-06-06 22:00:00,31.3,26.6,2112.0,79.2,7.1,23.0,79.0,,,,,
2026-06-06 23:00:00,34.9,30.6,1930.0,83.8,7.0,12.0,69.0,,,,,
2026-06-07 00:00:00,34.7,31.1,1694.0,79.9,6.4,11.0,69.0,,,,,
2026-06-07 01:00:00,31.5,28.6,1388.0,70.5,5.5,16.0,69.0,,,,,
2026-06-07 02:00:00,27.9,25.4,1113.0,60.8,4.8,22.0,70.0,,,,,
2026-06-07 03:00:00,25.0,22.6,888.0,52.7,4.2,24.0,70.0,,,,,
2026-06-07 04:00:00,22.6,20.4,693.0,44.4,3.8,26.0,70.0,,,,,
2026-06-07 05:00:00,27.6,24.8,571.0,49.4,4.3,26.0,70.0,,,,,
2026-06-07 06:00:00,23.9,21.5,577.0,39.2,6.1,57.0,70.0,,,,,
2026-06-07 07:00:00,22.6,19.9,655.0,25.0,8.7,99.0,70.0,,,,,
2026-06-07 08:00:00,21.0,14.1,680.0,13.6,10.5,135.0,70.0,,,,,
2026-06-07 09:00:00,22.6,13.6,579.0,7.9,11.0,156.0,69.0,,,,,
2026-06-07 10:00:00,23.0,13.4,425.0,5.0,10.7,170.0,69.0,,,,,
2026-06-07 11:00:00,23.1,13.6,310.0,3.2,10.2,179.0,69.0,,,,,
2026-06-07 12:00:00,24.1,14.2,277.0,2.2,9.6,183.0,69.0,,,,,
2026-06-07 13:00:00,25.4,14.8,284.0,2.3,8.7,183.0,80.0,,,,,
2026-06-07 14:00:00,26.1,14.8,297.0,2.6,7.9,181.0,114.0,,,,,
2026-06-07 15:00:00,26.3,14.3,274.0,2.5,7.1,178.0,140.0,,,,,
2026-06-07 16:00:00,25.8,13.6,256.0,2.6,6.4,173.0,155.0,,,,,
2026-06-07 17:00:00,21.1,11.8,336.0,4.4,6.2,165.0,161.0,,,,,
2026-06-07 18:00:00,20.0,11.0,613.0,9.7,6.2,150.0,163.0,,,,,
2026-06-07 19:00:00,19.8,12.6,987.0,17.5,6.3,129.0,159.0,,,,,
2026-06-07 20:00:00,22.8,16.0,1253.0,27.1,6.4,105.0,151.0,,,,,
2026-06-07 21:00:00,26.0,19.7,1321.0,41.2,6.8,76.0,135.0,,,,,
2026-06-07 22:00:00,33.4,27.4,1281.0,57.1,7.3,44.0,113.0,,,,,
2026-06-07 23:00:00,37.0,32.1,1201.0,65.3,7.3,24.0,84.0,,,,,
2026-06-08 00:00:00,31.8,28.6,1081.0,59.8,6.5,25.0,68.0,,,,,
2026-06-08 01:00:00,26.5,24.2,919.0,46.6,5.2,37.0,68.0,,,,,
2026-06-08 02:00:00,21.8,20.1,782.0,35.2,4.2,47.0,68.0,,,,,
2026-06-08 03:00:00,17.9,16.5,682.0,28.8,3.5,47.0,68.0,,,,,
2026-06-08 04:00:00,15.1,14.0,607.0,24.1,2.9,44.0,67.0,,,,,
2026-06-08 05:00:00,14.6,13.7,577.0,20.6,3.4,50.0,67.0,,,,,
2026-06-08 06:00:00,13.9,13.1,638.0,19.6,5.1,69.0,66.0,,,,,
2026-06-08 07:00:00,14.7,13.5,745.0,18.0,7.3,95.0,65.0,,,,,
2026-06-08 08:00:00,12.8,10.2,787.0,15.7,8.8,119.0,65.0,,,,,
2026-06-08 09:00:00,14.3,9.7,698.0,11.9,8.8,139.0,64.0,,,,,
2026-06-08 10:00:00,17.8,9.9,545.0,7.3,8.1,156.0,64.0,,,,,
2026-06-08 11:00:00,19.7,10.1,418.0,4.0,7.3,169.0,64.0,,,,,
2026-06-08 12:00:00,21.2,10.4,352.0,2.8,6.7,175.0,63.0,,,,,
2026-06-08 13:00:00,21.5,10.3,313.0,2.9,6.0,177.0,73.0,,,,,
2026-06-08 14:00:00,21.8,10.4,291.0,3.4,5.5,177.0,100.0,,,,,
2026-06-08 15:00:00,21.4,10.2,236.0,2.7,5.1,179.0,123.0,,,,,
2026-06-08 16:00:00,20.7,10.1,199.0,2.5,4.9,179.0,141.0,,,,,
2026-06-08 17:00:00,14.5,7.6,324.0,6.4,5.2,174.0,153.0,,,,,
2026-06-08 18:00:00,13.6,7.7,776.0,19.8,5.8,148.0,158.0,,,,,
2026-06-08 19:00:00,16.0,11.6,1390.0,38.7,6.7,112.0,157.0,,,,,
2026-06-08 20:00:00,23.4,19.2,1822.0,56.4,7.4,79.0,147.0,,,,,
2026-06-08 21:00:00,30.5,26.3,1918.0,73.2,8.0,50.0,127.0,,,,,
2026-06-08 22:00:00,38.0,33.6,1832.0,88.7,8.5,25.0,100.0,,,,,
2026-06-08 23:00:00,39.0,35.4,1679.0,95.1,8.5,10.0,68.0,,,,,
2026-06-09 00:00:00,33.2,30.4,1457.0,86.1,7.7,13.0,63.0,,,,,
2026-06-09 01:00:00,28.0,25.7,1167.0,68.0,6.4,26.0,63.0,,,,,
2026-06-09 02:00:00,24.0,22.0,932.0,52.0,5.4,38.0,63.0,,,,,
2026-06-09 03:00:00,21.0,19.1,787.0,42.0,4.6,40.0,63.0,,,,,
2026-06-09 04:00:00,18.3,16.6,697.0,34.0,4.1,41.0,63.0,,,,,
2026-06-09 05:00:00,22.6,20.5,673.0,39.4,4.4,33.0,63.0,,,,,
2026-06-09 06:00:00,18.7,16.9,773.0,34.3,7.0,64.0,64.0,,,,,
2026-06-09 07:00:00,16.9,14.8,939.0,27.1,10.6,106.0,64.0,,,,,
2026-06-09 08:00:00,15.5,12.2,1009.0,20.3,12.8,141.0,64.0,,,,,
2026-06-09 09:00:00,15.6,11.3,885.0,14.3,12.5,161.0,65.0,,,,,
2026-06-09 10:00:00,19.0,11.8,665.0,8.7,10.8,172.0,65.0,,,,,
2026-06-09 11:00:00,19.8,11.9,483.0,4.7,9.2,180.0,65.0,,,,,
2026-06-09 12:00:00,19.9,12.0,389.0,3.1,8.0,184.0,65.0,,,,,
2026-06-09 13:00:00,18.7,11.4,333.0,3.1,6.9,183.0,88.0,,,,,
2026-06-09 14:00:00,17.9,11.1,300.0,3.6,6.0,181.0,120.0,,,,,
2026-06-09 15:00:00,17.1,10.7,233.0,2.7,5.5,180.0,145.0,,,,,
2026-06-09 16:00:00,16.2,10.2,189.0,2.2,5.3,179.0,158.0,,,,,
2026-06-09 17:00:00,5.2,4.4,324.0,7.0,5.1,174.0,164.0,,,,,
2026-06-09 18:00:00,5.6,4.6,829.0,20.4,5.9,152.0,166.0,,,,,
2026-06-09 19:00:00,10.2,9.1,1515.0,39.3,7.0,120.0,163.0,,,,,
2026-06-09 20:00:00,18.7,17.2,1965.0,57.0,7.9,89.0,153.0,,,,,
2026-06-09 21:00:00,29.3,27.5,1972.0,74.4,8.4,59.0,134.0,,,,,
2026-06-09 22:00:00,37.7,35.9,1745.0,90.6,8.6,30.0,108.0,,,,,
2026-06-09 23:00:00,34.5,33.2,1493.0,95.4,8.4,16.0,76.0,,,,,
2026-06-10 00:00:00,26.4,25.8,1262.0,80.2,7.6,26.0,65.0,,,,,
2026-06-10 01:00:00,20.0,19.6,1006.0,53.6,6.4,51.0,64.0,,,,,
2026-06-10 02:00:00,15.7,15.4,798.0,32.2,5.4,70.0,64.0,,,,,
2026-06-10 03:00:00,13.0,12.5,652.0,22.0,4.8,74.0,63.0,,,,,
2026-06-10 04:00:00,11.5,11.0,553.0,16.9,4.4,73.0,63.0,,,,,
2026-06-10 05:00:00,8.9,8.7,534.0,16.7,4.5,67.0,62.0,,,,,
2026-06-10 06:00:00,10.5,9.9,671.0,17.8,6.0,87.0,61.0,,,,,
2026-06-10 07:00:00,15.0,13.5,888.0,19.0,8.1,116.0,61.0,,,,,
2026-06-10 08:00:00,23.3,15.8,987.0,18.6,10.2,143.0,61.0,,,,,
2026-06-10 09:00:00,44.4,22.8,845.0,14.8,12.5,167.0,61.0,,,,,
2026-06-10 10:00:00,50.1,25.2,586.0,9.3,14.7,189.0,62.0,,,,,
2026-06-10 11:00:00,44.9,23.3,386.0,5.2,15.5,203.0,63.0,,,,,
2026-06-10 12:00:00,38.3,20.4,319.0,3.7,13.9,204.0,89.0,,,,,
2026-06-10 13:00:00,33.2,18.1,310.0,3.5,10.8,197.0,117.0,,,,,
2026-06-10 14:00:00,29.5,16.4,313.0,3.8,8.4,190.0,144.0,,,,,
2026-06-10 15:00:00,27.1,15.3,266.0,2.9,7.2,186.0,162.0,,,,,
2026-06-10 16:00:00,24.9,14.2,231.0,2.4,6.6,182.0,173.0,,,,,
2026-06-10 17:00:00,16.6,10.4,344.0,6.9,5.9,171.0,180.0,,,,,
2026-06-10 18:00:00,16.6,10.7,763.0,25.0,6.6,142.0,180.0,,,,,
2026-06-10 19:00:00,21.0,15.4,1330.0,50.3,7.5,101.0,173.0,,,,,
2026-06-10 20:00:00,31.7,25.5,1703.0,71.4,8.3,65.0,156.0,,,,,
2026-06-10 21:00:00,44.5,37.4,1706.0,85.8,8.9,39.0,129.0,,,,,
2026-06-10 22:00:00,52.3,45.4,1515.0,96.0,9.4,18.0,95.0,,,,,
2026-06-10 23:00:00,52.7,46.7,1319.0,97.7,9.4,8.0,70.0,,,,,
2026-06-11 00:00:00,45.1,40.4,1178.0,85.9,8.5,14.0,71.0,,,,,
2026-06-11 01:00:00,35.7,32.4,1032.0,65.7,7.1,31.0,72.0,,,,,
2026-06-11 02:00:00,29.5,26.5,894.0,47.9,6.0,46.0,73.0,,,,,
2026-06-11 03:00:00,25.9,22.8,742.0,36.1,5.4,53.0,74.0,,,,,
2026-06-11 04:00:00,23.7,20.3,599.0,26.6,5.1,58.0,75.0,,,,,
2026-06-11 05:00:00,24.5,22.3,542.0,35.3,5.6,49.0,75.0,,,,,
2026-06-11 06:00:00,22.1,20.0,657.0,31.3,6.9,76.0,76.0,,,,,
2026-06-11 07:00:00,23.1,20.5,858.0,25.5,8.8,113.0,77.0,,,,,
2026-06-11 08:00:00,25.6,18.7,970.0,19.9,10.6,147.0,78.0,,,,,
2026-06-11 09:00:00,28.2,19.7,896.0,14.7,12.6,174.0,78.0,,,,,
2026-06-11 10:00:00,29.3,20.5,732.0,9.7,14.6,198.0,78.0,,,,,
2026-06-11 11:00:00,28.9,20.3,597.0,6.0,15.4,214.0,77.0,,,,,
2026-06-11 12:00:00,28.3,19.6,537.0,4.2,14.1,220.0,85.0,,,,,
2026-06-11 13:00:00,28.3,19.3,504.0,3.8,11.7,217.0,120.0,,,,,
2026-06-11 14:00:00,28.8,19.3,476.0,4.0,9.7,212.0,154.0,,,,,
2026-06-11 15:00:00,29.9,19.4,433.0,4.7,8.8,204.0,176.0,,,,,
2026-06-11 16:00:00,31.9,20.2,395.0,6.1,8.3,193.0,190.0,,,,,
2026-06-11 17:00:00,21.5,12.3,394.0,7.6,6.8,176.0,198.0,,,,,
2026-06-11 18:00:00,21.8,13.7,448.0,8.3,7.4,176.0,198.0,,,,,
2026-06-11 19:00:00,31.1,25.0,540.0,9.4,8.2,175.0,195.0,,,,,
2026-06-11 20:00:00,46.4,35.7,650.0,11.5,8.7,169.0,188.0,,,,,
2026-06-11 21:00:00,48.1,37.6,803.0,15.7,8.6,153.0,180.0,,,,,
2026-06-11 22:00:00,41.4,35.0,975.0,20.9,8.2,131.0,170.0,,,,,
2026-06-11 23:00:00,38.3,34.6,1073.0,24.4,7.7,113.0,157.0,,,,,
2026-06-12 00:00:00,36.7,33.4,1041.0,24.8,7.2,101.0,140.0,,,,,
2026-06-12 01:00:00,33.8,31.0,935.0,23.5,6.5,92.0,120.0,,,,,
2026-06-12 02:00:00,30.7,28.2,826.0,22.0,6.1,86.0,103.0,,,,,
2026-06-12 03:00:00,29.8,26.3,731.0,20.6,5.8,82.0,84.0,,,,,
2026-06-12 04:00:00,34.5,25.8,632.0,18.9,5.8,81.0,78.0,,,,,
2026-06-12 05:00:00,75.9,49.4,552.0,12.2,9.9,93.0,78.0,,,,,
2026-06-12 06:00:00,71.2,45.3,504.0,12.3,10.4,98.0,81.0,,,,,
2026-06-12 07:00:00,86.8,45.1,475.0,12.3,10.9,106.0,83.0,,,,,
2026-06-12 08:00:00,104.1,43.3,442.0,11.6,11.1,115.0,85.0,,,,,
2026-06-12 09:00:00,130.4,46.6,391.0,9.4,10.4,126.0,86.0,,,,,
2026-06-12 10:00:00,122.9,44.1,337.0,6.4,9.3,138.0,89.0,,,,,
2026-06-12 11:00:00,111.1,39.7,298.0,4.2,8.4,148.0,90.0,,,,,
2026-06-12 12:00:00,102.9,36.8,283.0,3.4,8.0,155.0,92.0,,,,,
2026-06-12 13:00:00,92.0,34.3,284.0,3.4,7.8,161.0,93.0,,,,,
2026-06-12 14:00:00,83.4,32.8,299.0,3.9,7.8,164.0,95.0,,,,,
2026-06-12 15:00:00,81.3,32.6,315.0,4.4,8.1,166.0,103.0,,,,,
2026-06-12 16:00:00,83.1,33.3,346.0,5.4,8.7,167.0,116.0,,,,,
2026-06-12 17:00:00,78.2,32.1,431.0,8.0,10.3,168.0,127.0,,,,,
2026-06-12 18:00:00,70.3,30.2,599.0,14.5,9.9,148.0,136.0,,,,,
2026-06-12 19:00:00,54.6,28.1,821.0,23.5,9.3,120.0,138.0,,,,,
2026-06-12 20:00:00,51.3,28.9,1053.0,30.0,8.8,99.0,132.0,,,,,
2026-06-12 21:00:00,49.0,29.5,1323.0,31.8,8.6,92.0,120.0,,,,,
2026-06-12 22:00:00,45.1,29.9,1602.0,31.1,8.5,92.0,106.0,,,,,
2026-06-12 23:00:00,45.1,31.4,1759.0,29.9,8.2,90.0,99.0,,,,,
2026-06-13 00:00:00,43.3,32.2,1721.0,28.6,7.4,85.0,99.0,,,,,
2026-06-13 01:00:00,39.9,31.7,1562.0,26.7,6.4,79.0,99.0,,,,,
2026-06-13 02:00:00,42.6,30.7,1372.0,25.6,5.5,71.0,99.0,,,,,
2026-06-13 03:00:00,40.3,30.5,1157.0,26.1,4.7,58.0,99.0,,,,,
2026-06-13 04:00:00,37.7,30.9,911.0,27.3,4.2,43.0,99.0,,,,,
2026-06-13 05:00:00,62.6,35.0,709.0,17.9,9.4,91.0,100.0,,,,,
2026-06-13 06:00:00,48.7,29.9,583.0,16.8,8.7,101.0,99.0,,,,,
2026-06-13 07:00:00,48.4,27.2,501.0,15.1,7.8,115.0,97.0,,,,,
2026-06-13 08:00:00,51.8,27.5,439.0,12.9,7.1,128.0,96.0,,,,,
2026-06-13 09:00:00,61.9,30.6,396.0,9.8,6.9,139.0,95.0,,,,,
2026-06-13 10:00:00,66.4,30.3,374.0,6.2,6.9,150.0,94.0,,,,,
2026-06-13 11:00:00,62.4,28.5,355.0,3.6,6.8,158.0,92.0,,,,,
2026-06-13 12:00:00,59.5,27.2,333.0,2.7,6.5,163.0,92.0,,,,,
2026-06-13 13:00:00,68.0,30.4,314.0,2.8,6.1,165.0,91.0,,,,,
2026-06-13 14:00:00,56.9,25.7,303.0,3.5,5.8,165.0,105.0,,,,,
2026-06-13 15:00:00,55.1,25.0,283.0,4.1,5.5,163.0,118.0,,,,,
2026-06-13 16:00:00,54.7,25.7,270.0,5.3,5.2,159.0,128.0,,,,,
2026-06-13 17:00:00,46.2,21.4,316.0,8.7,4.6,150.0,135.0,,,,,
2026-06-13 18:00:00,43.5,21.7,464.0,10.3,5.2,146.0,137.0,,,,,
2026-06-13 19:00:00,41.0,21.5,671.0,12.9,6.1,140.0,136.0,,,,,
